id,query_id,query_group_id,execution_id,brand_in_response,total_sources,sources_with_brand,brand_mention_percentage
953604,193570,4350,13845,0,27,3,11.11
953603,193569,4350,13845,1,17,1,5.88
953602,193568,4350,13845,1,18,4,22.22
953601,193567,4350,13845,0,13,1,7.69
953600,193566,4350,13845,0,14,3,21.43
953599,193565,4350,13845,0,17,4,23.53
953598,193564,4350,13845,1,19,2,10.53
953597,193563,4350,13845,0,20,1,5.00
953596,193562,4350,13845,0,17,1,5.88
953595,193561,4350,13845,1,30,2,6.67
953594,193560,4350,13845,0,27,2,7.41
953593,193559,4350,13845,1,20,2,10.00
953592,193558,4350,13845,1,19,2,10.53
953591,193557,4350,13845,1,14,2,14.29
953590,193556,4350,13845,1,15,1,6.67
953589,193555,4350,13845,0,16,3,18.75
953588,193554,4350,13845,0,16,2,12.50
953587,193553,4350,13845,0,15,1,6.67
953586,193552,4350,13845,1,29,9,31.03
953585,193551,4350,13845,0,15,2,13.33
953584,193550,4350,13845,0,17,2,11.76
953583,193549,4350,13845,0,32,2,6.25
953582,193548,4350,13845,1,29,3,10.34
953581,193547,4350,13845,1,15,3,20.00
953580,193546,4350,13845,0,16,2,12.50
953579,193545,4350,13845,0,18,1,5.56
953578,193544,4350,13845,1,16,2,12.50
953577,193543,4350,13845,0,25,2,8.00
953576,193542,4350,13845,1,28,2,7.14
953575,193541,4350,13845,0,21,2,9.52
953574,193540,4350,13845,0,17,2,11.76
953573,193539,4350,13845,0,18,1,5.56
953572,193538,4350,13845,0,15,1,6.67
953571,193537,4350,13845,0,14,2,14.29
953570,193536,4350,13845,0,25,3,12.00
953569,193535,4350,13845,1,29,4,13.79
953568,193534,4350,13845,0,19,6,31.58
953567,193533,4350,13845,0,17,2,11.76
953566,193532,4350,13845,0,8,2,25.00
953565,193531,4350,13845,0,17,1,5.88
953564,193530,4350,13845,1,22,3,13.64
953563,193529,4350,13845,0,24,1,4.17
953562,193528,4350,13845,1,16,3,18.75
953561,193527,4350,13845,0,29,0,0.00
953560,193526,4350,13845,0,26,0,0.00
953559,193525,4350,13845,0,28,3,10.71
953558,193524,4350,13845,1,17,1,5.88
953557,193523,4350,13845,0,18,1,5.56
953556,193522,4350,13845,0,15,1,6.67
953555,193521,4350,13845,1,15,0,0.00
953554,193520,4350,13845,1,17,1,5.88
953553,193519,4350,13845,0,29,2,6.90
953552,193518,4350,13845,1,25,2,8.00
953551,193517,4350,13845,0,23,3,13.04
953550,193516,4350,13845,1,20,3,15.00
953549,193515,4350,13845,1,17,3,17.65
953548,193514,4350,13845,0,16,1,6.25
953547,193513,4350,13845,1,26,1,3.85
953546,193512,4350,13845,0,16,1,6.25
953545,193511,4350,13845,1,14,2,14.29
953544,193510,4350,13845,0,15,2,13.33
953543,193509,4350,13845,1,15,1,6.67
953542,193508,4350,13845,0,28,4,14.29
953541,193507,4350,13845,1,19,3,15.79
953540,193506,4350,13845,0,12,2,16.67
953539,193505,4350,13845,0,15,3,20.00
953538,193504,4350,13845,0,24,3,12.50
953537,193503,4350,13845,1,19,3,15.79
953536,193502,4350,13845,1,15,1,6.67
953535,179760,4350,13845,0,17,1,5.88
953534,179759,4350,13845,0,19,2,10.53
953533,179758,4350,13845,1,17,1,5.88
953532,179757,4350,13845,1,13,1,7.69
953531,179756,4350,13845,0,15,1,6.67
953530,179755,4350,13845,0,27,3,11.11
953529,179754,4350,13845,1,17,2,11.76
953528,179753,4350,13845,0,27,6,22.22
953527,179752,4350,13845,1,18,3,16.67
953526,179751,4350,13845,1,18,4,22.22
953525,179750,4350,13845,0,27,2,7.41
953524,179749,4350,13845,1,16,2,12.50
953523,179748,4350,13845,0,28,4,14.29
953522,179747,4350,13845,1,16,5,31.25
953521,179746,4350,13845,1,27,1,3.70
953520,179745,4350,13845,0,20,1,5.00
953519,179744,4350,13845,0,24,3,12.50
953518,179743,4350,13845,0,19,1,5.26
953517,179742,4350,13845,1,15,2,13.33
953516,179741,4350,13845,1,15,3,20.00
953515,179740,4350,13845,1,26,1,3.85
953514,179739,4350,13845,0,29,2,6.90
953513,179738,4350,13845,0,19,1,5.26
953512,179737,4350,13845,0,20,3,15.00
953511,179736,4350,13845,1,23,1,4.35
953468,213196,4101,13844,1,23,2,8.70
953467,179135,4101,13844,1,16,1,6.25
953466,179134,4101,13844,0,17,1,5.88
953465,179133,4101,13844,0,16,1,6.25
953464,179132,4101,13844,0,17,0,0.00
953463,179131,4101,13844,1,13,1,7.69
953462,179127,4101,13844,1,19,1,5.26
953461,179126,4101,13844,1,19,1,5.26
953460,179125,4101,13844,1,15,1,6.67
953459,179124,4101,13844,0,18,0,0.00
953458,179123,4101,13844,1,17,1,5.88
953457,179122,4101,13844,1,28,2,7.14
953456,179121,4101,13844,1,14,2,14.29
953455,179120,4101,13844,1,25,2,8.00
953454,179118,4101,13844,1,14,3,21.43
953453,179117,4101,13844,0,18,0,0.00
953452,179115,4101,13844,1,17,1,5.88
953451,179113,4101,13844,1,19,1,5.26
953450,179112,4101,13844,1,27,2,7.41
953449,179110,4101,13844,1,17,2,11.76
953448,179109,4101,13844,1,21,2,9.52
953447,179108,4101,13844,0,14,1,7.14
953446,179106,4101,13844,1,20,1,5.00
953444,179104,4101,13844,1,15,1,6.67
953443,179103,4101,13844,0,26,0,0.00
953442,179102,4101,13844,1,16,2,12.50
953441,179101,4101,13844,1,16,1,6.25
953440,179100,4101,13844,1,33,1,3.03
953439,179099,4101,13844,1,20,1,5.00
953438,179098,4101,13844,1,14,1,7.14
953437,179097,4101,13844,1,16,2,12.50
953436,179096,4101,13844,1,30,3,10.00
953435,179095,4101,13844,0,18,0,0.00
953434,179094,4101,13844,1,12,1,8.33
953433,179093,4101,13844,1,30,0,0.00
953432,179092,4101,13844,1,16,2,12.50
953431,179091,4101,13844,0,20,0,0.00
953430,179089,4101,13844,0,17,0,0.00
953429,179088,4101,13844,0,17,1,5.88
953428,179087,4101,13844,1,19,1,5.26
953427,179085,4101,13844,0,28,0,0.00
953426,179084,4101,13844,0,19,3,15.79
953424,179079,4101,13844,1,21,2,9.52
953423,179076,4101,13844,1,17,2,11.76
953422,179075,4101,13844,0,21,0,0.00
953421,179074,4101,13844,1,15,1,6.67
953420,179073,4101,13844,0,19,0,0.00
953419,179072,4101,13844,1,16,3,18.75
953418,179071,4101,13844,1,14,3,21.43
953417,179070,4101,13844,1,21,3,14.29
953416,179069,4101,13844,1,22,1,4.55
953415,179068,4101,13844,1,24,1,4.17
953414,179067,4101,13844,1,13,1,7.69
